,normal,metabolite,raw_pvalue(A0_A90),pvalue(A0_A90),significance(A0_A90),rf_importance,pca_value_total,pca_value_ptlist2,pca_value_ptlist1,raw_pvalue(A0_A90_combined),pvalue(A0_A90_combined),significance(A0_A90_combined)
PC aa C40:2,,PC aa C40:2,0.820892333984375,0.9020270414130632,0,0,,0.0935706500011383,0.06293326295301033,,,
PC aa C40:1,,PC aa C40:1,0.348388671875,0.49507863898026316,0,0,,0.09301179784470372,0.0678705752717236,,,
C0,,C0,0.19281005859375,0.3196587813527961,0,0,,0.07756341175285304,0.12561150167357457,,,
C2,,C2,0.002685546875,0.010151367187500001,1,0.3091068550025905,0.09954748392155663,0.06813971704391608,0.049748302761279097,,,
C3:1,,C3:1,1.0,1.0,0,0,,0.018337831289612447,0.04746106925724644,,,
C3,,C3,3.0517578125e-05,0.000213623046875,1,0.1921731676588182,0.1958601366507028,0.06306152493872066,0.10969480212930584,,,
C4:1,,C4:1,0.004180908203125,0.0146331787109375,1,0.39037461575735066,0.12715321621352604,0.09197940055088906,0.053751317539256556,,,
C4,,C4,3.0517578125e-05,0.000213623046875,1,0.4261112530320443,0.12228315349704819,0.09393651487408149,0.03707476482352695,,,
C3OH,,C3OH,0.1590576171875,0.2757971527379587,0,0,,0.015159592632243209,0.06496960224609638,,,
C5:1,,C5:1,0.3066241230648338,0.45274968171291863,0,0,,0.06789367064346646,0.06388942071935425,,,
C5,,C5,0.00030517578125,0.0015178479646381579,1,0.18625277156383319,0.12108404630861572,0.11936451414595142,0.05166219144463411,,,
C4OH,,C4OH,3.0517578125e-05,0.000213623046875,1,8.113929513266651,0.21198141775094448,0.11988098272523728,0.14081684409780074,3.0517578125e-05,0.0001678466796875,1
C6:1,,C6:1,0.781951904296875,0.8902946380247553,0,0,,0.05475058482287357,0.04487336728185134,,,
C6,,C6,3.0517578125e-05,0.000213623046875,1,6.445439181907385,0.15690860878298324,0.1003725074276313,0.07855507012895441,,,
C5OH,,C5OH,0.2978515625,0.4432594119094488,0,0,,0.051248089667254026,0.09771858330548783,,,
C5:1DC,,C5:1DC,0.49542236328125,0.6594001877475792,0,0,,0.11434599870202335,0.027969548813087584,,,
C5DC,,C5DC,0.979949951171875,0.995755595545615,0,0,,0.027094256380915806,0.08554650497468863,,,
C8,,C8,3.0517578125e-05,0.000213623046875,1,4.038629207488158,0.1938267968846124,0.14399678113750505,0.08426345894700908,3.0517578125e-05,0.0001678466796875,1
C5MDC,,C5MDC,0.274444580078125,0.4217075254858994,0,0,,0.053942339865418666,0.048794055002705804,,,
C9,,C9,0.01824951171875,0.04857968612455986,1,0.2185799988608854,0.06682740452371218,0.07702662554090398,0.055507494215157153,,,
C7DC,,C7DC,3.0517578125e-05,0.000213623046875,1,0.32504122821794834,0.10172008634580341,0.0881848155951436,0.1082266679051329,,,
C10:2,,C10:2,0.001678466796875,0.007049560546875,1,0.10130238664299865,0.10609245953130785,0.0954717441207156,0.11479068820081254,0.001678466796875,0.00461578369140625,1
C10:1,,C10:1,6.103515625e-05,0.00038452148437500004,1,1.9279754786146097,0.17977790532852048,0.14023895413012213,0.1220684997994588,6.103515625e-05,0.0002582256610576923,1
C10,,C10,3.0517578125e-05,0.000213623046875,1,2.295574485223213,0.20348404934830153,0.15195267986541613,0.12231581229376166,3.0517578125e-05,0.0001678466796875,1
C12:1,,C12:1,6.103515625e-05,0.00038452148437500004,1,0.8606243801032181,0.20326074017992007,0.12334107285726889,0.15108183277092674,6.103515625e-05,0.0002582256610576923,1
C12,,C12,3.0517578125e-05,0.000213623046875,1,1.2149740205194741,0.1510623987559517,0.07579972630932078,0.11178084132867566,,,
C14:2,,C14:2,3.0517578125e-05,0.000213623046875,1,3.0555743801176067,0.1911534638014962,0.14181638015188705,0.10574608317951992,3.0517578125e-05,0.0001678466796875,1
C14:1,,C14:1,3.0517578125e-05,0.000213623046875,1,5.852391230529823,0.17515776595465646,0.13287064220501202,0.11485247068525313,3.0517578125e-05,0.0001678466796875,1
C14,,C14,0.00042724609375,0.0020705003004807695,1,0.1108535547601308,0.07841897542642717,0.03677613367284854,0.046573682610177546,,,
C12DC,,C12DC,0.0155029296875,0.04507774939903846,1,0.2675252687584024,0.06628622959178074,0.04132242581605901,0.08999112073587205,,,
C14:2OH,,C14:2OH,0.083251953125,0.17290790264423078,0,0,,0.05275638092146491,0.0846063576735979,,,
C14:1OH,,C14:1OH,0.001678466796875,0.007049560546875,1,0.4339919860379433,0.1085203462075069,0.07922988833972434,0.1463483342463971,,,
C16:2,,C16:2,0.01824951171875,0.04857968612455986,1,0.07574142200534298,0.20234307995242096,0.13798492240311586,0.1443268230027517,0.01824951171875,0.041821797688802086,1
C16:1,,C16:1,0.00030517578125,0.0015178479646381579,1,0.3716214416694773,0.16856416540960747,0.153507484072724,0.14219143265439046,0.00030517578125,0.0009873334099264705,1
C16,,C16,0.009185791015625,0.028001846805695566,1,0.09080454677480579,0.08787827452513758,0.060161435969537186,0.07168977298745544,,,
C16:2OH,,C16:2OH,0.129730224609375,0.24519012451171876,0,0,,0.04672906136740043,0.07192827201178863,,,
C16:1OH,,C16:1OH,0.1590576171875,0.2757971527379587,0,0,,0.05031689069549882,0.07442354585154322,,,
C16OH,,C16OH,0.781951904296875,0.8902946380247553,0,0,,0.07883606228259105,0.16875178650300804,,,
C18:2,,C18:2,0.00030517578125,0.0015178479646381579,1,0.0989282115729884,0.1417148625181617,0.13822736936463992,0.11508521442740419,0.00030517578125,0.0009873334099264705,1
C18:1,,C18:1,3.0517578125e-05,0.000213623046875,1,0.7379757289309575,0.14009290198705257,0.14394528740287738,0.08221547892660463,,,
C18,,C18,0.01824951171875,0.04857968612455986,1,0.08486477027917667,0.07701338975970677,0.04302518605350851,0.051528031338226324,,,
C18:1OH,,C18:1OH,0.083251953125,0.17290790264423078,0,0,,0.030369495600861225,0.04947783344277057,,,
